date,ticker,open,high,low,close,volume,vwap,transactions,timestamp_ms,adjusted,dollar_volume,prev_close,return_1d,log_return_1d,gap_pct,intraday_return,hl_range_pct,rolling_return_5d,rolling_return_20d,rolling_vol_20d,rolling_avg_dollar_volume_20d,has_prev_close,has_20d_history
2026-01-02,AAPL,272.255,277.84,269,271.01,37838054.0,271.9197,642187,1767330000000,True,10254491014.539999,,,,,-0.0045729187710051855,0.032618722556363146,,,,,False,False
2026-01-05,AAPL,270.64,271.51,266.14,267.26,45647190.0,267.9755,754339,1767589200000,True,12199667999.4,271.01,-0.01383712778126267,-0.013933753214987847,-0.0013652632744178828,-0.012488915164055592,0.02009279353438601,,,,,True,False
2026-01-06,AAPL,267,267.55,262.12,262.36,52352090.0,263.1381,783173,1767675600000,True,13735094332.400002,267.26,-0.018334206390780428,-0.01850436092738003,-0.0009728354411434603,-0.017378277153557997,0.020696752553742974,,,,,True,False
2026-01-07,AAPL,263.2,263.68,259.81,260.33,48309804.0,261.4392,732706,1767762000000,True,12576491275.32,262.36,-0.007737459978655381,-0.007767549433242862,0.0032017075773744796,-0.010904255319148959,0.01486574732070835,,,,,True,False
2026-01-08,AAPL,257.02,259.29,255.7,259.04,50419337.0,257.4496,764090,1767848400000,True,13060625056.480001,260.33,-0.004955249106902593,-0.004967567062966796,-0.012714631429339707,0.00785931055948974,0.013858863495985297,-0.04416811187779035,,,,True,False
2026-01-09,AAPL,259.075,260.21,256.22,259.37,39996967.0,258.6804,649745,1767934800000,True,10374013330.79,259.04,0.0012739345274861424,0.0012731237613982068,0.00013511426806656068,0.001138666409340905,0.015383429078150719,-0.029521813963930166,,,,True,False
2026-01-12,AAPL,259.16,261.3,256.8,260.25,45263767.0,260.0061,664531,1768194000000,True,11779895361.75,259.37,0.0033928364884141526,0.0033870938043550165,-0.0008096541620078446,0.004205895971600482,0.01729106628242075,-0.008042384509833855,,,,True,False
2026-01-13,AAPL,258.72,261.81,258.39,261.05,45730847.0,260.3473,602102,1768280400000,True,11938037609.35,260.25,0.00307396733909715,0.003069252361483235,-0.005878962536022936,0.00900587507730366,0.013100938517525439,0.0027657204317597106,,,,True,False
2026-01-14,AAPL,259.49,261.82,256.71,259.96,40019421.0,259.2335,612223,1768366800000,True,10403448683.16,261.05,-0.0041754453169892125,-0.00418418683041337,-0.005975866692204512,0.0018112451346872227,0.01965687028773663,0.00355157504632464,,,,True,False
2026-01-15,AAPL,260.65,261.04,257.05,258.21,39388564.0,258.9417,601833,1768453200000,True,10170521110.439999,259.96,-0.006731804893060467,-0.006754565696655325,0.0026542545006924545,-0.009361212353730997,0.015452538631346616,-0.004472375371091575,,,,True,False
2026-01-16,AAPL,257.9,258.9,254.93,255.53,72142773.0,256.2442,661895,1768539600000,True,18434642784.69,258.21,-0.010379148754889322,-0.010433387748804377,-0.0012005731768715,-0.00918960837533922,0.015536336242319768,-0.018136407300672452,,,,True,False
2026-01-20,AAPL,252.73,254.79,243.42,246.7,80267517.0,248.1492,1016079,1768885200000,True,19801996443.899998,255.53,-0.03455562947599111,-0.03516679604537734,-0.010957617500880534,-0.023859454754085352,0.046088366436967995,-0.0549703122007279,,,,True,False
2026-01-21,AAPL,248.7,251.56,245.18,247.65,54641725.0,247.7151,806424,1768971600000,True,13532023196.25,246.7,0.0038508309687881326,0.003843435498935823,0.008107012565869542,-0.0042219541616405065,0.025762164344841493,-0.04735343899061384,,,,True,False
2026-01-22,AAPL,249.2,251,248.15,248.35,39708340.0,249.2648,611659,1769058000000,True,9861566239.0,247.65,0.0028265697557035008,0.002822582519112694,0.006258833030486466,-0.0034109149277687933,0.01147573988322929,-0.038185972657914014,,,,True,False
2026-01-23,AAPL,247.32,249.41,244.68,248.04,41688982.0,247.5598,629226,1769144400000,True,10340535095.279999,248.35,-0.0012482383732635993,-0.0012490180716823703,-0.004147372659553006,0.0029112081513829047,0.01906950491856148,-0.02931162681485544,,,,True,False
2026-01-26,AAPL,251.48,256.56,249.8,255.41,55969234.0,254.6109,771970,1769403600000,True,14295102055.94,248.04,0.029712949524270282,0.029280073618068572,0.013868730849862843,0.01562748528710034,0.026467248737324266,0.03530603972436164,,,,True,False
2026-01-27,AAPL,259.17,261.95,258.21,258.27,49648271.0,259.6602,698663,1769490000000,True,12822658951.169998,255.41,0.011197682158098576,0.011135452238227017,0.014721428291766259,-0.00347262414631333,0.014480969528013355,0.042883101150817504,,,,True,False
2026-01-28,AAPL,257.65,258.855,254.51,256.44,41287971.0,256.2135,620112,1769576400000,True,10587887283.24,258.27,-0.0070856080845626,-0.007110830218916325,-0.0024005885313819197,-0.004696293421307951,0.01694353454999231,0.032574994966780846,,,,True,False
2026-01-29,AAPL,258,259.65,254.41,258.28,67253009.0,258.2492,923855,1769662800000,True,17370107164.519997,256.44,0.007175167680548933,0.007149548639209559,0.006083294337856815,0.0010852713178293172,0.020288059470342193,0.04128366392517324,,,,True,False
2026-01-30,AAPL,255.165,261.8999,252.18,259.48,92443408.0,257.6628,1003197,1769749200000,True,23987215507.84,258.28,0.004646120489391503,0.004635360586588554,-0.012060554437045012,0.016910626457390388,0.03745914906736548,0.015935163071140623,-0.04254455555145553,,12817831841.453684,True,True
2026-02-02,AAPL,260.03,270.49,259.205,270.01,73913425.0,266.5831,916103,1770008400000,True,19957363884.25,259.48,0.040581162324649256,0.03977936700470298,0.002119623863110709,0.03838018690151146,0.04179474834265407,0.045456305416812004,0.010289605627478826,0.012696308590869482,13376301024.772999,True,True
2026-02-03,AAPL,269.2,271.875,267.61,269.48,64394655.0,269.6176,806130,1770094800000,True,17353071629.4,270.01,-0.0019628902633235246,-0.0019648192570985205,-0.0029998888930039547,0.0010401188707283016,0.015826777497402352,0.05085010138823898,0.02713828327488943,0.01549488575574068,13861444668.2585,True,True
2026-02-04,AAPL,272.285,278.95,272.285,276.49,90545710.0,275.9912,1099346,1770181200000,True,25034983357.9,269.48,0.026013062193854797,0.025680477850631312,0.010408935728069002,0.015443377343592024,0.02410575427682724,0.0705048784265141,0.06207505857949536,0.015180119608506381,14119114849.7585,True,True
