symbol,ticker,eodhd_symbol,name,country,exchange,currency,type,isin,sector,industry,gics_sector,gics_sub_industry,is_delisted,delisted_date,metadata_source
ACDC,ACDC,ACDC.US,ProFrac Holding Corp.,USA,NASDAQ,USD,Common Stock,US74319N1000,Energy,Oil & Gas Equipment & Services,Energy,Oil & Gas Equipment & Services,False,NA,eodhd_fundamentals_general
ACEL,ACEL,ACEL.US,Accel Entertainment Inc,USA,NYSE,USD,Common Stock,US00436Q1067,Consumer Cyclical,Gambling,Consumer Discretionary,Gambling,False,NA,eodhd_fundamentals_general
ACET,ACET,ACET.US,Adicet Bio Inc,USA,NASDAQ,USD,Common Stock,US0070021086,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACGL,ACGL,ACGL.US,Arch Capital Group Ltd,USA,NASDAQ,USD,Common Stock,BMG0450A1053,Financial Services,Insurance - Diversified,Financials,Insurance - Diversified,False,NA,eodhd_fundamentals_general
ACH,ACH,ACH.US,Accendra Health Inc,USA,NYSE,USD,Common Stock,US6907321029,Healthcare,Medical Distribution,NA,Medical Distribution,False,NA,eodhd_fundamentals_general
ACHC,ACHC,ACHC.US,Acadia Healthcare Company Inc,USA,NASDAQ,USD,Common Stock,US00404A1097,Healthcare,Medical Care Facilities,Health Care,Medical Care Facilities,False,NA,eodhd_fundamentals_general
ACHR,ACHR,ACHR.US,Archer Aviation Inc,USA,NYSE,USD,Common Stock,US03945R1023,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense,False,NA,eodhd_fundamentals_general
ACHV,ACHV,ACHV.US,Achieve Life Sciences Inc,USA,NASDAQ,USD,Common Stock,US0044685008,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACI,ACI,ACI.US,Albertsons Companies,USA,NYSE,USD,Common Stock,US0130911037,Consumer Defensive,Grocery Stores,Consumer Staples,Grocery Stores,False,NA,eodhd_fundamentals_general
ACIC,ACIC,ACIC.US,American Coastal Insurance Corp,USA,NASDAQ,USD,Common Stock,US9107101027,Financial Services,Insurance - Property & Casualty,Financials,Insurance - Property & Casualty,False,NA,eodhd_fundamentals_general
ACIU,ACIU,ACIU.US,AC Immune Ltd,USA,NASDAQ,USD,Common Stock,CH0329023102,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACIW,ACIW,ACIW.US,ACI Worldwide Inc,USA,NASDAQ,USD,Common Stock,US0044981019,Technology,Software - Infrastructure,Information Technology,Software - Infrastructure,False,NA,eodhd_fundamentals_general
ACLS,ACLS,ACLS.US,Axcelis Technologies Inc,USA,NASDAQ,USD,Common Stock,US0545402085,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductor Equipment & Materials,False,NA,eodhd_fundamentals_general
ACLX,ACLX,ACLX.US,Arcellx Inc,USA,NASDAQ,USD,Common Stock,US03940C1009,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACM,ACM,ACM.US,Aecom Technology Corporation,USA,NYSE,USD,Common Stock,US00766T1007,Industrials,Engineering & Construction,Industrials,Engineering & Construction,False,NA,eodhd_fundamentals_general
ACMR,ACMR,ACMR.US,Acm Research Inc,USA,NASDAQ,USD,Common Stock,US00108J1097,Technology,Semiconductor Equipment & Materials,Information Technology,Semiconductor Equipment & Materials,False,NA,eodhd_fundamentals_general
ACN,ACN,ACN.US,Accenture plc,USA,NYSE,USD,Common Stock,IE00B4BNMY34,Technology,Information Technology Services,Information Technology,Information Technology Services,False,NA,eodhd_fundamentals_general
ACNB,ACNB,ACNB.US,ACNB Corporation,USA,NASDAQ,USD,Common Stock,US0008681092,Financial Services,Banks - Regional,Financials,Banks - Regional,False,NA,eodhd_fundamentals_general
ACNT,ACNT,ACNT.US,Synalloy Corporation,USA,NASDAQ,USD,Common Stock,US8715651076,Basic Materials,Chemicals,Materials,Chemicals,False,NA,eodhd_fundamentals_general
ACOG,ACOG,ACOG.US,Alpha Cognition Inc,USA,NASDAQ,USD,Common Stock,CA02074J5017,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACON,ACON,ACON.US,Aclarion Inc,USA,NASDAQ,USD,Common Stock,US6551871022,Healthcare,Health Information Services,Health Care,Health Information Services,False,NA,eodhd_fundamentals_general
ACR,ACR,ACR.US,Acres Commercial Realty Corp,USA,NYSE,USD,Common Stock,US00489Q1022,Real Estate,REIT - Mortgage,Financials,REIT - Mortgage,False,NA,eodhd_fundamentals_general
ACRE,ACRE,ACRE.US,Ares Commercial Real Estate,USA,NYSE,USD,Common Stock,US04013V1089,Real Estate,REIT - Mortgage,Financials,REIT - Mortgage,False,NA,eodhd_fundamentals_general
ACRS,ACRS,ACRS.US,Aclaris Therapeutics Inc,USA,NASDAQ,USD,Common Stock,US00461U1051,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACRV,ACRV,ACRV.US,"Acrivon Therapeutics, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US0048901096,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACT,ACT,ACT.US,Enact Holdings Inc,USA,NASDAQ,USD,Common Stock,US29249E1091,Financial Services,Insurance - Specialty,Financials,Insurance - Specialty,False,NA,eodhd_fundamentals_general
ACTG,ACTG,ACTG.US,Acacia Research Corporation,USA,NASDAQ,USD,Common Stock,US0038813079,Industrials,Business Equipment & Supplies,Industrials,Business Equipment & Supplies,False,NA,eodhd_fundamentals_general
ACTU,ACTU,ACTU.US,"Actuate Therapeutics, Inc. Common stock",USA,NASDAQ,USD,Common Stock,US0050831009,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACVA,ACVA,ACVA.US,ACV Auctions Inc.,USA,NYSE,USD,Common Stock,US00091G1040,Consumer Cyclical,Auto & Truck Dealerships,Industrials,Auto & Truck Dealerships,False,NA,eodhd_fundamentals_general
ACXP,ACXP,ACXP.US,Acurx Pharmaceuticals LLC,USA,NASDAQ,USD,Common Stock,US00510M1045,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ACYN,ACYN,ACYN.US,First Trust Exchange-Traded Fund,USA,NYSE ARCA,USD,Common Stock,NA,Unknown,Unknown,NA,Unknown,False,NA,eodhd_fundamentals_general
ACYS,ACYS,ACYS.US,ACYS,USA,NYSE ARCA,USD,Common Stock,NA,NA,NA,NA,NA,False,NA,eodhd_fundamentals_general
AD,AD,AD.US,"Array Digital Infrastructure, Inc.",USA,NYSE,USD,Common Stock,US9116841084,Communication Services,Telecom Services,Communication Services,Telecom Services,False,NA,eodhd_fundamentals_general
ADAG,ADAG,ADAG.US,Adagene Inc,USA,NASDAQ,USD,Common Stock,US0053291078,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
ADAM,ADAM,ADAM.US,"New York Mortgage Trust, Inc.",USA,NASDAQ,USD,Common Stock,NA,Real Estate,REIT - Mortgage,Financials,REIT - Mortgage,False,NA,eodhd_fundamentals_general
ADAMG,ADAMG,ADAMG.US,"Adamas Trust, Inc.",USA,NASDAQ,USD,Common Stock,NA,Unknown,Unknown,NA,Unknown,False,NA,eodhd_fundamentals_general
ADAMH,ADAMH,ADAMH.US,"Adamas Trust, Inc.",USA,NASDAQ,USD,Common Stock,NA,Unknown,Unknown,NA,Unknown,False,NA,eodhd_fundamentals_general
ADAMI,ADAMI,ADAMI.US,"New York Mortgage Trust, Inc. 9.125% Senior Notes Due 2029",USA,NASDAQ,USD,Common Stock,NA,NA,NA,NA,NA,False,NA,eodhd_fundamentals_general
ADAMM,ADAMM,ADAMM.US,"New York Mortgage Trust, Inc.",USA,NASDAQ,USD,Common Stock,NA,Real Estate,REIT - Mortgage,NA,REIT - Mortgage,False,NA,eodhd_fundamentals_general
