symbol,ticker,eodhd_symbol,name,country,exchange,currency,type,isin,sector,industry,gics_sector,gics_sub_industry,is_delisted,delisted_date,metadata_source
AA,AA,AA.US,Alcoa Corp,USA,NYSE,USD,Common Stock,US0138721065,Basic Materials,Aluminum,Materials,Aluminum,False,NA,eodhd_fundamentals_general
AACB,AACB,AACB.US,Artius II Acquisition Inc. Class A Ordinary Shares,USA,NASDAQ,USD,Common Stock,KYG0509J1159,Financial Services,Shell Companies,Financials,Shell Companies,False,NA,eodhd_fundamentals_general
AACG,AACG,AACG.US,ATA Creativity Global,USA,NASDAQ,USD,Common Stock,US00211V1061,Consumer Defensive,Education & Training Services,Consumer Discretionary,Education & Training Services,False,NA,eodhd_fundamentals_general
AACO,AACO,AACO.US,Abony Acquisition Corp. I Class A Ordinary Share,USA,NASDAQ,USD,Common Stock,NA,Financial Services,Shell Companies,NA,Shell Companies,False,NA,eodhd_fundamentals_general
AAL,AAL,AAL.US,American Airlines Group,USA,NASDAQ,USD,Common Stock,US02376R1023,Industrials,Airlines,Industrials,Airlines,False,NA,eodhd_fundamentals_general
AAM,AAM,AAM.US,AA Mission Acquisition Corp.,USA,NYSE,USD,Common Stock,KYG1000R1011,Financial Services,Shell Companies,Financials,Shell Companies,False,NA,eodhd_fundamentals_general
AAME,AAME,AAME.US,Atlantic American Corporation,USA,NASDAQ,USD,Common Stock,US0482091008,Financial Services,Insurance - Life,Financials,Insurance - Life,False,NA,eodhd_fundamentals_general
AAMI,AAMI,AAMI.US,Acadian Asset Management Inc,USA,NYSE,USD,Common Stock,US10948W1036,Financial Services,Asset Management,Financials,Asset Management,False,NA,eodhd_fundamentals_general
AAOI,AAOI,AAOI.US,Applied Opt,USA,NASDAQ,USD,Common Stock,US03823U1025,Technology,Communication Equipment,Information Technology,Communication Equipment,False,NA,eodhd_fundamentals_general
AAON,AAON,AAON.US,AAON Inc,USA,NASDAQ,USD,Common Stock,US0003602069,Industrials,Building Products & Equipment,Industrials,Building Products & Equipment,False,NA,eodhd_fundamentals_general
AAP,AAP,AAP.US,Advance Auto Parts Inc,USA,NYSE,USD,Common Stock,US00751Y1064,Consumer Cyclical,Auto Parts,Consumer Discretionary,Auto Parts,False,NA,eodhd_fundamentals_general
AAPG,AAPG,AAPG.US,Ascentage Pharma Group International,USA,NASDAQ,USD,Common Stock,KYG0519B1023,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
AARD,AARD,AARD.US,"Aardvark Therapeutics, Inc. Common Stock",USA,NASDAQ,USD,Common Stock,US0029421007,Healthcare,Biotechnology,Health Care,Biotechnology,False,NA,eodhd_fundamentals_general
AAT,AAT,AAT.US,American Assets Trust Inc,USA,NYSE,USD,Common Stock,US0240131047,Real Estate,REIT - Diversified,Real Estate,REIT - Diversified,False,NA,eodhd_fundamentals_general
AAUC,AAUC,AAUC.US,Allied Gold Corporation,USA,NYSE,USD,Common Stock,CA01921D2041,Basic Materials,Gold,Materials,Gold,False,NA,eodhd_fundamentals_general
AB,AB,AB.US,AllianceBernstein Holding L.P. ,USA,NYSE,USD,Common Stock,US01881G1067,Financial Services,Asset Management,Financials,Asset Management,False,NA,eodhd_fundamentals_general
